Sample Names,lung_cocci_S13-15588,lung_cocci_S15-7163,lung_cocci_S16-1593,lung_control_S16-1234,lung_control_S16-430,lung_control_S16-455,lung_sarc_ng07-1929,lung_sarc_ng14-2391,lung_sarc_S01-274,lung_sarc_S08-13633,lung_sarc_S08-8308,lung_sarc_S14-1820,lymph_control_LN2,lymph_control_LN4,lymph_control_LN5,lymph_sarc_S01-01562,lymph_sarc_S03-06811,lymph_sarc_S08-11588-2,lymph_sarc_S10-5712,lymph_sarc_S10-8898,lymph_sarc_S11-16399,lymph_sarc_S11-3356,lymph_sarc_S11-5747,lymph_sarc_S12-10867-2,lymph_sarc_S12-11588,lymph_sarc_S15-2130,lymph_sarc_S16-3789,lymph_TB_S07-1722,lymph_TB_S10-2574,lymph_TB_S11-5890,lymph_TB_S13-12712
GeneName,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM
SIN3A,309.340026,426.286627,339.774655,442.105786,386.727574,497.755328,483.925216,322.592761,278.79932,318.974783,340.545764,326.762701,495.052459,806.892274,555.902263,403.912278,555.190862,572.862457,425.789505,375.042563,367.497545,388.517993,289.347785,387.879314,303.628272,364.800632,592.393013,367.048152,232.695117,344.981645,290.784934
SIN3B,276.196452,506.13302,510.561809,318.645581,377.865067,266.94212,636.396479,357.548057,342.304946,394.891284,309.89157,249.730459,705.597091,411.970329,596.901562,346.17022,439.439828,370.381897,421.681434,452.285006,326.34008,307.856455,222.164378,252.257176,330.971907,237.84575,422.29586,327.146281,270.698089,300.287318,249.855987
SIRT1,224.709264,336.777855,271.927703,239.036977,265.311229,258.799075,185.824351,450.049439,201.582252,333.90712,221.583131,216.593148,418.437197,546.613818,392.789365,289.08646,315.209587,347.329082,346.850096,272.023999,242.518242,269.466178,187.776218,236.999686,193.019474,218.667285,329.236363,209.811886,179.073342,202.287041,222.021009
SIRT2,328.72589,304.452802,158.549508,256.2116,247.908489,319.918712,602.921217,78.742383,215.895073,161.871546,191.740968,251.171212,198.462995,279.167291,324.376809,178.49255,192.556873,117.185144,183.252199,168.919514,179.416408,196.042151,269.295834,197.33021,196.722258,213.585812,408.764461,221.177378,255.914515,247.239716,174.174493
SIRT3,147.061582,168.564607,250.331856,137.115439,119.80498,127.012783,341.716443,573.322639,200.018667,174.921655,219.045532,107.960399,247.305224,186.079239,208.212127,238.397585,226.868083,386.518867,202.423198,161.358518,210.308052,211.775871,111.691243,168.171451,127.888456,172.442267,205.129363,189.288588,96.886696,161.295712,154.574716
SIRT4,36.270326,15.108448,167.367812,18.793543,15.066262,8.42384,619.047986,193.648623,141.564625,148.31951,95.921236,36.114866,108.440062,13.173751,69.85959,147.458545,94.947398,126.022056,113.334437,38.23458,105.672026,102.583854,48.911769,20.682376,50.035053,69.337527,69.566332,114.145516,49.195055,60.88418,108.704648
SIX1,17.926713,37.595441,236.024608,69.050434,33.194117,52.976592,549.043151,293.587302,171.874128,382.594066,91.353558,27.27825,116.690937,13.076886,79.10453,164.480227,136.160288,131.016833,153.287444,32.821594,164.253131,137.617604,67.745612,32.210258,92.379709,109.333643,55.038757,161.16104,45.770612,92.488838,103.104712
SKP2,136.847525,189.997522,285.875021,118.392283,176.283319,101.834862,726.804118,851.849414,203.145838,279.44801,262.286216,178.077027,342.042942,309.292561,268.02287,341.656183,353.661805,485.645973,303.19177,231.297727,249.110971,247.334078,137.365237,314.64336,165.580897,196.702206,294.702242,198.855225,153.014162,193.761533,252.655955
SLA,372.813097,560.330186,305.581231,233.335565,286.339541,328.623346,378.979051,488.723384,297.682622,222.85571,646.174169,427.807487,1039.610164,1063.199232,987.681158,541.872537,512.992018,542.12537,464.534255,468.09436,458.571386,871.75298,542.245995,739.818761,344.358894,448.972784,632.489121,276.369515,488.024971,628.217948,613.769502
SLAMF7,281.199255,409.948421,341.034412,69.543149,135.999197,134.968631,1041.764786,185.188697,538.474787,507.824921,239.346323,580.431217,205.608841,326.437811,327.029704,1901.820257,998.574507,375.760887,798.415734,1239.058144,1438.156718,1381.735291,1338.327206,1737.319584,963.673222,771.892238,1244.141548,409.566539,1069.428673,1290.279578,1830.932155
